source	target	component	layer	head	restoration_mean	restoration_std	n_cells
FOS	FOS	head	0	0	-0.042990077508248056	0.1873919246226878	8
FOS	FOS	head	0	1	-0.08683350333589257	0.11415500126943907	8
FOS	FOS	head	1	0	0.010969519392291727	0.060559031276067495	8
FOS	FOS	head	1	1	0.06325981509449159	0.10959289769610113	8
FOS	FOS	head	2	0	-0.05100649064720364	0.08686500444618538	8
FOS	FOS	head	2	1	-0.004024221963276515	0.04237892171117882	8
FOS	FOS	head	3	0	0.053823959998145425	0.1436637489995386	8
FOS	FOS	head	3	1	-0.04285134988547114	0.1375162416405906	8
FOS	FOS	head	4	0	-0.018674602492031393	0.12864998094257307	8
FOS	FOS	head	4	1	0.015503692043677998	0.22218237426821874	8
FOS	FOS	head	5	0	0.07039528893821197	0.27057784089184905	8
FOS	FOS	head	5	1	-0.03384061258056624	0.09023634744137096	8
FOS	FOS	head	6	0	0.13761031254885842	0.34684514119834636	8
FOS	FOS	head	6	1	-0.071380674209019	0.15426756846783063	8
FOS	FOS	head	7	0	0.04259329942468449	0.11133078698939498	8
FOS	FOS	head	7	1	-0.043038139609176455	0.10043735643395407	8
FOS	FOS	head	8	0	0.002442297791797038	0.05361947371914125	8
FOS	FOS	head	8	1	-0.0004558710231696247	0.0436656966051689	8
FOS	FOS	head	9	0	0.0033833212240462797	0.0360298294795862	8
FOS	FOS	head	9	1	0.00019132176129591774	0.05699053770356503	8
FOS	FOS	head	10	0	0.004489714170529656	0.014939637298757786	8
FOS	FOS	head	10	1	0.013403660273379135	0.023763641558512176	8
FOS	FOS	head	11	0	-0.00039241747723411805	0.009891339489873165	8
FOS	FOS	head	11	1	0.006437354309115856	0.01623332512314757	8
JUN	JUN	head	0	0	0.05030888570337461	0.12136425438116387	8
JUN	JUN	head	0	1	0.007273832274825816	0.10516889856287999	8
JUN	JUN	head	1	0	-0.044759501428925694	0.0631064059749869	8
JUN	JUN	head	1	1	0.02385616242472304	0.024563378627300812	8
JUN	JUN	head	2	0	-0.015478799251424535	0.04966004145264851	8
JUN	JUN	head	2	1	0.12250461465002142	0.22207479317841783	8
JUN	JUN	head	3	0	0.03262258679187224	0.03787870331845115	8
JUN	JUN	head	3	1	-0.04170986028986434	0.02275483865901792	8
JUN	JUN	head	4	0	-0.06285409600232539	0.06995269176166631	8
JUN	JUN	head	4	1	0.1164983775348784	0.15329938671986879	8
JUN	JUN	head	5	0	0.0069137841736737525	0.025272960927224287	8
JUN	JUN	head	5	1	-0.019974601947436634	0.059821995268561384	8
JUN	JUN	head	6	0	0.05841887469140229	0.05401119685541208	8
JUN	JUN	head	6	1	-0.014876143404862138	0.088983231560237	8
JUN	JUN	head	7	0	0.08144438303340659	0.11014357856814963	8
JUN	JUN	head	7	1	0.01247731026488388	0.05437491428104865	8
JUN	JUN	head	8	0	0.05524185712748531	0.02542700746853876	8
JUN	JUN	head	8	1	0.008058042822637536	0.016305724937537344	8
JUN	JUN	head	9	0	0.003030289773285298	0.014506812734994205	8
JUN	JUN	head	9	1	-0.03455058727521444	0.03429017058612791	8
JUN	JUN	head	10	0	0.00582943579621545	0.0059686841894379125	8
JUN	JUN	head	10	1	0.008556114152608561	0.019438187790683244	8
JUN	JUN	head	11	0	0.004767902186513448	0.006138308698309766	8
JUN	JUN	head	11	1	0.008863778003704921	0.019183755861353513	8
