source	target	label	intervention	effect_mean	effect_std	n_cells
GATA3	GATA3	1	ablation	-1.0681289672851562	0.7279397612386262	5
GATA3	GATA3	1	swap	0.3123992919921875	0.622761711241978	5
FOS	FOS	1	ablation	0.8637418746948242	0.6095341684498667	8
FOS	FOS	1	swap	0.021731853485107422	0.1525006075837393	8
JUN	JUN	1	ablation	-0.4194131578717913	0.7275542679349503	7
JUN	JUN	1	swap	-0.08036613464355469	0.19716228633183155	7
FOXP3	IL2RA	1	ablation	-0.2686805725097656	0.0	1
FOXP3	IL2RA	1	swap	0.1385631561279297	0.0	1
JUN	TNF	1	ablation	-0.1734161376953125	0.0	1
JUN	TNF	1	swap	-0.07903099060058594	0.0	1
