source	target	component	layer	head	restoration_mean	restoration_std	n_cells
GATA3	GATA3	head	0	0	0.2307163667591783	0.5025280869610068	5
GATA3	GATA3	head	0	1	-0.11870220498513377	0.22462709165153308	5
GATA3	GATA3	head	1	0	-0.038600130560057115	0.07457914149142404	5
GATA3	GATA3	head	1	1	0.07619160541308176	0.030901296976590584	5
GATA3	GATA3	head	2	0	-0.2664061531170718	0.4757422331743267	5
GATA3	GATA3	head	2	1	0.15073918353422777	0.16104152012888814	5
GATA3	GATA3	head	3	0	-0.18829184302905247	0.35614257933552146	5
GATA3	GATA3	head	3	1	0.08440822227168358	0.10259988724018909	5
GATA3	GATA3	head	4	0	0.0862263170644008	0.1554037624443072	5
GATA3	GATA3	head	4	1	0.05198884262504302	0.0653574990555276	5
GATA3	GATA3	head	5	0	0.10648777171172426	0.13054594346796844	5
GATA3	GATA3	head	5	1	-0.03627195336876665	0.1253230712409027	5
GATA3	GATA3	head	6	0	-0.06515928701614551	0.08083080471222664	5
GATA3	GATA3	head	6	1	-0.204458256390959	0.16609439298030493	5
GATA3	GATA3	head	7	0	0.36416978028128566	0.6066724160804886	5
GATA3	GATA3	head	7	1	0.22851808151931247	0.37127289480905584	5
GATA3	GATA3	head	8	0	0.11434295588263269	0.21808559403376251	5
GATA3	GATA3	head	8	1	0.08995017996398544	0.13199298456980388	5
GATA3	GATA3	head	9	0	0.12065151824277288	0.24218140194504256	5
GATA3	GATA3	head	9	1	0.013016304122548956	0.03695317358321068	5
GATA3	GATA3	head	10	0	-0.02303150415255497	0.019033977690230772	5
GATA3	GATA3	head	10	1	-0.06050349504048182	0.10657851477054349	5
GATA3	GATA3	head	11	0	-0.025541851858533318	0.04476203792204516	5
GATA3	GATA3	head	11	1	0.025914170725080708	0.02439582856143095	5
FOS	FOS	head	0	0	0.06970253173100788	0.2767393252823101	8
FOS	FOS	head	0	1	0.08517150479779707	0.12356346651540613	8
FOS	FOS	head	1	0	0.053405772149444086	0.27221375014383425	8
FOS	FOS	head	1	1	-0.02697401894602788	0.10653345581075557	8
FOS	FOS	head	2	0	0.020748591616578996	0.09320826354532785	8
