source	target	component	layer	head	restoration_mean	restoration_std	n_cells
GATA3	GATA3	mlp	0		-1.9358196456711512	3.9964956304994974	5
GATA3	GATA3	mlp	1		-0.005457981579618859	0.3884655756388647	5
GATA3	GATA3	mlp	2		-1.651624272763312	3.148763960246415	5
GATA3	GATA3	mlp	3		-0.29585763153558053	1.020161770862056	5
GATA3	GATA3	mlp	4		-0.9255378451236618	2.4804700506983894	5
GATA3	GATA3	mlp	5		1.1067141862717087	2.0762760080177722	5
GATA3	GATA3	mlp	6		-0.8091987612128299	1.6800592108764247	5
GATA3	GATA3	mlp	7		-1.0284757549485772	3.1490386572119027	5
GATA3	GATA3	mlp	8		0.37799034408385207	0.20173090166556332	5
GATA3	GATA3	mlp	9		1.4405984416879014	1.7741496477526306	5
GATA3	GATA3	mlp	10		1.9617422813884458	3.374485150736747	5
GATA3	GATA3	mlp	11		0.3574280490266293	0.7456391183734539	5
FOS	FOS	mlp	0		0.1705150915606136	0.8191490194970845	8
FOS	FOS	mlp	1		0.19900859091070444	0.6619780674355192	8
FOS	FOS	mlp	2		0.08987461845455674	0.2551357902260854	8
FOS	FOS	mlp	3		0.09951099542320681	0.42885820415162657	8
FOS	FOS	mlp	4		-0.24640746723819273	0.3367278379339731	8
FOS	FOS	mlp	5		0.19884161661134353	0.7540381879094149	8
FOS	FOS	mlp	6		0.021293116322464535	0.3483330664631254	8
FOS	FOS	mlp	7		0.06538405792928495	0.43939848161563394	8
FOS	FOS	mlp	8		0.060784996162401336	1.0178319960466515	8
FOS	FOS	mlp	9		0.25684091559971844	0.3512874098373502	8
FOS	FOS	mlp	10		0.3007690328695289	0.22764411754516814	8
FOS	FOS	mlp	11		0.09607455705418426	0.19806051893717658	8
JUN	JUN	mlp	0		0.8191954965928462	0.4881244186224812	7
JUN	JUN	mlp	1		0.029487895717426972	0.22815874218021498	7
JUN	JUN	mlp	2		-0.04345136994726075	0.12293965597526255	7
JUN	JUN	mlp	3		0.10432863092466294	0.18606975394366748	7
JUN	JUN	mlp	4		0.006798689578098899	0.39437813587482334	7
JUN	JUN	mlp	5		-0.209076767255156	0.42399762695559684	7
JUN	JUN	mlp	6		0.40061010566091587	0.2595143716681313	7
JUN	JUN	mlp	7		0.188694544752799	0.18227528397505335	7
JUN	JUN	mlp	8		0.02028420585791497	0.2503312024397543	7
JUN	JUN	mlp	9		0.3641134351730756	0.12621584797219865	7
JUN	JUN	mlp	10		0.28320979429720367	0.13785070954818435	7
JUN	JUN	mlp	11		0.2342572142100036	0.35718772745876565	7
FOXP3	IL2RA	mlp	0		0.036871920832564284	0.0	1
FOXP3	IL2RA	mlp	1		0.031121775304189796	0.0	1
FOXP3	IL2RA	mlp	2		-0.031540613064898554	0.0	1
FOXP3	IL2RA	mlp	3		-0.01998353044737552	0.0	1
FOXP3	IL2RA	mlp	4		0.01112404696662076	0.0	1
FOXP3	IL2RA	mlp	5		0.00710604404185538	0.0	1
FOXP3	IL2RA	mlp	6		0.0022077719250919313	0.0	1
FOXP3	IL2RA	mlp	7		0.0028253801485099315	0.0	1
FOXP3	IL2RA	mlp	8		0.010108897817784276	0.0	1
FOXP3	IL2RA	mlp	9		0.007098945096758622	0.0	1
FOXP3	IL2RA	mlp	10		0.0005892124430309656	0.0	1
FOXP3	IL2RA	mlp	11		0.0	0.0	1
JUN	TNF	mlp	0		0.38162120545534534	0.0	1
JUN	TNF	mlp	1		-0.07659480862296525	0.0	1
JUN	TNF	mlp	2		0.24638143422789266	0.0	1
JUN	TNF	mlp	3		0.4299714034315882	0.0	1
JUN	TNF	mlp	4		-0.2221073471183458	0.0	1
JUN	TNF	mlp	5		0.13567971843378795	0.0	1
JUN	TNF	mlp	6		-0.02497800263968324	0.0	1
JUN	TNF	mlp	7		-0.03819841619005719	0.0	1
JUN	TNF	mlp	8		0.011691597008358997	0.0	1
JUN	TNF	mlp	9		0.004564452265728112	0.0	1
JUN	TNF	mlp	10		7.699076110866696e-05	0.0	1
JUN	TNF	mlp	11		0.0	0.0	1
