tissue	granularity	pair	components	mean_abs_restoration	max_abs_restoration
kidney	heads	GATA3->GATA3	24	0.11542866581815474	0.3641697802812856
kidney	heads	JUN->JUN	24	0.04286939056193217	0.1279130790287374
kidney	heads	JUN->TNF	24	0.021968947059686123	0.1039705235371755
kidney	heads	FOS->FOS	24	0.028374165274968183	0.085171504797797
kidney	heads	FOXP3->IL2RA	24	0.00767987543717667	0.0460082631720926
kidney	mlp	GATA3->GATA3	12	0.9913704329411056	1.9617422813884455
kidney	mlp	JUN->JUN	12	0.22529234583061367	0.8191954965928462
kidney	mlp	JUN->TNF	12	0.1309887813462384	0.4299714034315882
kidney	mlp	FOS->FOS	12	0.15044208801134998	0.3007690328695289
kidney	mlp	FOXP3->IL2RA	12	0.01338151150738995	0.0368719208325642
lung	heads	GATA3->GATA3	24	0.1655408024616575	0.6078889253373913
lung	mlp	GATA3->GATA3	12	1.0909778369873357	1.619349891432817
immune	heads	FOS->FOS	24	0.034166313237575546	0.1376103125488584
immune	heads	JUN->JUN	24	0.03503624254189853	0.1225046146500214
immune	mlp	FOS->FOS	12	0.19451162276253875	0.7165428353770986
immune	mlp	JUN->JUN	12	0.18577259832460155	0.3303690462824815
