tissue	granularity	pair	component	restoration_mean	ci95_low	ci95_high	n_cells
kidney	heads	GATA3->GATA3	L7:H0	0.3641697802812856	-0.16760203859127792	0.8959415991538491	5
kidney	heads	GATA3->GATA3	L2:H0	-0.2664061531170718	-0.683412606590049	0.15060030035590538	5
kidney	heads	GATA3->GATA3	L0:H0	0.2307163667591783	-0.20976892275553452	0.6712016562738912	5
kidney	heads	GATA3->GATA3	L7:H1	0.2285180815193124	-0.09691695943118916	0.553953122469814	5
kidney	heads	GATA3->GATA3	L6:H1	-0.204458256390959	-0.350046410918085	-0.05887010186383296	5
kidney	heads	GATA3->GATA3	L3:H0	-0.1882918430290524	-0.5004645777229768	0.12388089166487196	5
kidney	heads	GATA3->GATA3	L2:H1	0.1507391835342277	0.009580067340654669	0.2918982997278007	5
kidney	heads	JUN->JUN	L7:H0	0.1279130790287374	-0.01717448783467776	0.27300064589215256	7
kidney	heads	JUN->JUN	L2:H1	0.1211632419585095	-0.0112699906545069	0.2535964745715259	7
kidney	heads	GATA3->GATA3	L9:H0	0.1206515182427728	-0.09162984019027061	0.3329328766758162	5
kidney	mlp	GATA3->GATA3	L10:MLP	1.9617422813884455	-0.9961243675670626	4.919608930343953	5
kidney	mlp	GATA3->GATA3	L0:MLP	-1.9358196456711512	-5.438902519089632	1.5672632277473295	5
kidney	mlp	GATA3->GATA3	L2:MLP	-1.651624272763312	-4.4116375747665835	1.10838902923996	5
kidney	mlp	GATA3->GATA3	L9:MLP	1.4405984416879014	-0.11451229044791655	2.9957091738237196	5
kidney	mlp	GATA3->GATA3	L5:MLP	1.1067141862717087	-0.7132219769683084	2.9266503495117258	5
kidney	mlp	GATA3->GATA3	L7:MLP	-1.0284757549485772	-3.7887298394583624	1.731778329561208	5
kidney	mlp	GATA3->GATA3	L4:MLP	-0.9255378451236618	-3.0997657077331295	1.2486900174858058	5
kidney	mlp	JUN->JUN	L0:MLP	0.8191954965928462	0.45758786684358643	1.180803126342106	7
kidney	mlp	GATA3->GATA3	L6:MLP	-0.8091987612128299	-2.281835589096611	0.6634380666709513	5
kidney	mlp	JUN->TNF	L3:MLP	0.4299714034315882	0.4299714034315882	0.4299714034315882	1
lung	heads	GATA3->GATA3	L6:H1	-0.6078889253373913	-1.6956509676735703	0.47987311699878765	3
lung	heads	GATA3->GATA3	L7:H1	0.4822695524686796	-0.3810131384987923	1.3455522434361515	3
lung	heads	GATA3->GATA3	L5:H0	0.3488222824288735	0.011600162923570412	0.6860444019341765	3
lung	heads	GATA3->GATA3	L6:H0	-0.2853915209601415	-0.7941508262490355	0.22336778432875254	3
lung	heads	GATA3->GATA3	L2:H1	0.2829254204539977	-0.035510083797987035	0.6013609247059825	3
lung	heads	GATA3->GATA3	L0:H0	-0.2228857480947821	-0.3717913208280015	-0.07398017536156268	3
lung	heads	GATA3->GATA3	L8:H1	0.2098096329015349	-0.2190473227498241	0.6386665885528939	3
lung	heads	GATA3->GATA3	L3:H1	0.2083319011121066	0.09132688956473806	0.3253369126594751	3
lung	heads	GATA3->GATA3	L4:H1	0.190032523338142	-0.12471044050415411	0.5047754871804381	3
lung	heads	GATA3->GATA3	L1:H0	0.1618004008112775	0.05014617339009557	0.2734546282324594	3
lung	mlp	GATA3->GATA3	L7:MLP	1.619349891432817	0.04883819268171208	3.189861590183922	3
lung	mlp	GATA3->GATA3	L0:MLP	-1.5728684355839997	-3.774774171062698	0.6290372998946987	3
lung	mlp	GATA3->GATA3	L9:MLP	1.5563327727068967	-1.036063145245823	4.148728690659617	3
