source	target	component	layer	head	restoration_mean	restoration_std	n_cells
KLF2	CXCR4	mlp	0		-0.13400350866740268	0.5838261064946176	12
KLF2	CXCR4	mlp	1		-0.057733665575732715	0.24799753538076097	12
KLF2	CXCR4	mlp	2		-0.04452786858848321	0.18253404459456224	12
KLF2	CXCR4	mlp	3		-0.35061253877277704	0.6498098077012844	12
KLF2	CXCR4	mlp	4		-0.40814387276050706	0.696178499532831	12
KLF2	CXCR4	mlp	5		-0.0922642431195413	0.14334011041766428	12
KLF2	CXCR4	mlp	6		-0.11940463253495491	0.18792246668666165	12
KLF2	CXCR4	mlp	7		-0.15360739252036254	0.27070699644485535	12
KLF2	CXCR4	mlp	8		-0.015741530792957925	0.08839371077821186	12
KLF2	CXCR4	mlp	9		-0.018083658140693966	0.03258712929058198	12
KLF2	CXCR4	mlp	10		-0.0005349614258091879	0.003836784471141411	12
KLF2	CXCR4	mlp	11		0.0	0.0	12
STAT4	S100A4	mlp	0		0.42886044402175844	0.3725834685195614	9
STAT4	S100A4	mlp	1		-0.10227622586934625	0.16924986846428355	9
STAT4	S100A4	mlp	2		0.061918102010198206	0.06465408746385792	9
STAT4	S100A4	mlp	3		0.07108985393796602	0.06874580965882053	9
STAT4	S100A4	mlp	4		-0.08305818501442455	0.1055912382169051	9
STAT4	S100A4	mlp	5		0.059926961315956484	0.05211082633192372	9
STAT4	S100A4	mlp	6		0.0055392637609810195	0.037880229790835114	9
STAT4	S100A4	mlp	7		-0.004988249022378619	0.048986705211232225	9
STAT4	S100A4	mlp	8		-0.08764036548243598	0.08735317409955776	9
STAT4	S100A4	mlp	9		-0.021140166199905417	0.049883477417087194	9
STAT4	S100A4	mlp	10		0.024468381339031134	0.04275539406866999	9
STAT4	S100A4	mlp	11		0.0	0.0	9
