source	target	component	layer	head	restoration_mean	restoration_std	n_cells
KLF2	CXCR4	head	0	0	1.2749175587769883	3.096399824937851	12
KLF2	CXCR4	head	0	1	-6.132063755118637	16.479691173164174	12
KLF2	CXCR4	head	1	0	0.5693898204195481	3.596852685282704	12
KLF2	CXCR4	head	1	1	1.4679161863194625	4.216589590252274	12
KLF2	CXCR4	head	2	0	-0.5141469346668849	1.9353214516901855	12
KLF2	CXCR4	head	2	1	0.1846642128482654	1.452647677760081	12
KLF2	CXCR4	head	3	0	1.0894084716237575	3.627537037368847	12
KLF2	CXCR4	head	3	1	0.6598018809439532	2.3036159539781154	12
KLF2	CXCR4	head	4	0	0.9503860300243272	3.142399039034838	12
KLF2	CXCR4	head	4	1	1.8965266495647373	7.371286460107454	12
KLF2	CXCR4	head	5	0	0.10178980046724748	1.0377309802276862	12
KLF2	CXCR4	head	5	1	-0.14430224541815	0.6995907834322339	12
KLF2	CXCR4	head	6	0	0.3719261927027162	1.3399306434491758	12
KLF2	CXCR4	head	6	1	-0.5782995170939055	2.1327756284845636	12
KLF2	CXCR4	head	7	0	0.7931820119606455	2.4844164204837176	12
KLF2	CXCR4	head	7	1	-0.10521730993134898	0.6040606864101007	12
KLF2	CXCR4	head	8	0	0.1276226623858869	0.3490658335709223	12
KLF2	CXCR4	head	8	1	-0.072337493126125	0.4578231673093139	12
KLF2	CXCR4	head	9	0	0.09507000857944133	0.31488702269167174	12
KLF2	CXCR4	head	9	1	0.04533762909531894	0.1791756385955171	12
KLF2	CXCR4	head	10	0	0.00850613562136843	0.021552947244606338	12
KLF2	CXCR4	head	10	1	0.011910861821052485	0.05423320079891252	12
KLF2	CXCR4	head	11	0	0.0	0.0	12
KLF2	CXCR4	head	11	1	0.0	0.0	12
STAT4	S100A4	head	0	0	-0.002850266682792569	0.04994106859352102	6
STAT4	S100A4	head	0	1	0.05616560414058131	0.11480611063276118	6
STAT4	S100A4	head	1	0	-0.010507361100477819	0.029321255315421634	6
STAT4	S100A4	head	1	1	0.005407785662175372	0.06902171115667595	6
STAT4	S100A4	head	2	0	-0.008495894630150994	0.02978318636088313	6
STAT4	S100A4	head	2	1	0.027019733187854715	0.03086111934960721	6
STAT4	S100A4	head	3	0	0.018892782254952927	0.037242918752376876	6
STAT4	S100A4	head	3	1	0.00987872329774842	0.035087743160552104	6
STAT4	S100A4	head	4	0	-0.01728459246323206	0.016897632622193823	6
STAT4	S100A4	head	4	1	0.01873255659574811	0.030967286185417872	6
STAT4	S100A4	head	5	0	0.02014359684092236	0.030639159698724893	6
STAT4	S100A4	head	5	1	0.00979872427109704	0.02419730929998642	6
STAT4	S100A4	head	6	0	-0.0013986067426559644	0.0031700445576463114	6
STAT4	S100A4	head	6	1	-0.0006891907901638641	0.011455119596432538	6
STAT4	S100A4	head	7	0	-0.0018219730120539693	0.0030913527928055798	6
STAT4	S100A4	head	7	1	0.0012657865577060967	0.004647213180606269	6
STAT4	S100A4	head	8	0	-0.00016108545473587026	0.003164496084167519	6
STAT4	S100A4	head	8	1	-0.0017213598433255632	0.00237987222212793	6
STAT4	S100A4	head	9	0	-0.0033935370208780244	0.00462450170171976	6
STAT4	S100A4	head	9	1	-0.0025119365254922953	0.006412876992522995	6
STAT4	S100A4	head	10	0	0.001392467581797039	0.0050263272692424865	6
STAT4	S100A4	head	10	1	-0.0008227870437190899	0.006188368794957252	6
STAT4	S100A4	head	11	0	0.0	0.0	6
STAT4	S100A4	head	11	1	0.0	0.0	6
