source	target	component	layer	head	restoration_mean	restoration_std	n_cells
KLF2	CXCR4	mlp	0		12.361900264861951	48.10770666413032	12
KLF2	CXCR4	mlp	1		3.9025227040118566	12.403280725980663	12
KLF2	CXCR4	mlp	2		3.738446865661658	13.681724984468673	12
KLF2	CXCR4	mlp	3		9.699126966951798	28.73219822304192	12
KLF2	CXCR4	mlp	4		18.422949966922154	57.63380149486611	12
KLF2	CXCR4	mlp	5		1.963455587629422	5.037671300794904	12
KLF2	CXCR4	mlp	6		1.9586683740405713	6.456431923436679	12
KLF2	CXCR4	mlp	7		2.2323108188905754	9.774741567336786	12
KLF2	CXCR4	mlp	8		-0.10199904743308683	1.9588716665606565	12
KLF2	CXCR4	mlp	9		-0.3263607668701186	1.6480594888645475	12
KLF2	CXCR4	mlp	10		-0.12553687121544557	0.33638015045964886	12
KLF2	CXCR4	mlp	11		0.0	0.0	12
STAT4	S100A4	mlp	0		0.31251822411897234	0.4659049257145141	6
STAT4	S100A4	mlp	1		0.018872605542848517	0.1604549558993063	6
STAT4	S100A4	mlp	2		-0.04816377847828689	0.29221196692483387	6
STAT4	S100A4	mlp	3		-0.03844367145524601	0.08147951074583021	6
STAT4	S100A4	mlp	4		-0.018245558451669423	0.2992687910494386	6
STAT4	S100A4	mlp	5		0.08990898569426051	0.08920433523563799	6
STAT4	S100A4	mlp	6		0.04537701076573867	0.03952521929337622	6
STAT4	S100A4	mlp	7		-0.002548492913741739	0.01963235620585871	6
STAT4	S100A4	mlp	8		0.028523608088812567	0.1377018204198254	6
STAT4	S100A4	mlp	9		0.0005879666677182864	0.005818283028049337	6
STAT4	S100A4	mlp	10		0.018107060682960058	0.03608745856694355	6
STAT4	S100A4	mlp	11		0.0	0.0	6
