source	target	component	layer	head	restoration_mean	restoration_std	n_cells
KLF2	CXCR4	head	0	0	0.002225531637408677	0.09081033483354642	11
KLF2	CXCR4	head	0	1	0.15024809618060853	0.1893173200168635	11
KLF2	CXCR4	head	1	0	0.0022857674106223536	0.18191554820984518	11
KLF2	CXCR4	head	1	1	-0.108605816233138	0.14047026016186132	11
KLF2	CXCR4	head	2	0	0.05277594896705596	0.08352627636413391	11
KLF2	CXCR4	head	2	1	0.0003662447490494845	0.05934213094894526	11
KLF2	CXCR4	head	3	0	-0.11889566144305291	0.16219230749906322	11
KLF2	CXCR4	head	3	1	-0.08132822748465053	0.09483306908820786	11
KLF2	CXCR4	head	4	0	-0.10185623004259739	0.13252575645098874	11
KLF2	CXCR4	head	4	1	-0.02728649329714894	0.11509377564518293	11
KLF2	CXCR4	head	5	0	0.09566870456474862	0.11915428054171688	11
KLF2	CXCR4	head	5	1	0.024480184798274116	0.05585775645455639	11
KLF2	CXCR4	head	6	0	-0.07859878784537311	0.11503641374750712	11
KLF2	CXCR4	head	6	1	0.017814361735065315	0.05728662455253538	11
KLF2	CXCR4	head	7	0	-0.12430844299588029	0.15776173311948644	11
KLF2	CXCR4	head	7	1	0.0010723871386092393	0.03291311545791983	11
KLF2	CXCR4	head	8	0	0.005232364200677836	0.010353707802260158	11
KLF2	CXCR4	head	8	1	0.0050676118386158075	0.007962777401222369	11
KLF2	CXCR4	head	9	0	-0.005529080405956966	0.0051205413240841685	11
KLF2	CXCR4	head	9	1	-0.0025249173707219043	0.0035945436601496775	11
KLF2	CXCR4	head	10	0	-0.0005515364737370522	0.0006152266707035424	11
KLF2	CXCR4	head	10	1	2.6212617751997314e-05	0.0006385494835884659	11
KLF2	CXCR4	head	11	0	0.0	0.0	11
KLF2	CXCR4	head	11	1	0.0	0.0	11
STAT4	S100A4	head	0	0	0.28914213847579545	0.37602004618898066	2
STAT4	S100A4	head	0	1	0.12496138740567497	0.40694290132140504	2
STAT4	S100A4	head	1	0	0.2370923613256255	0.22018882668209136	2
STAT4	S100A4	head	1	1	-0.005924275186443669	0.04126687781294775	2
STAT4	S100A4	head	2	0	-0.05620890516746835	0.1123800835110256	2
STAT4	S100A4	head	2	1	0.0007060588676580902	0.03388720552352459	2
STAT4	S100A4	head	3	0	0.08243237279908212	0.06724394834548386	2
STAT4	S100A4	head	3	1	0.02966550461144698	0.05671270353499626	2
STAT4	S100A4	head	4	0	0.10732094788402982	0.2011077712699042	2
STAT4	S100A4	head	4	1	0.014959622258505799	0.07750996180518883	2
STAT4	S100A4	head	5	0	0.17244384625568157	0.21098373862551703	2
STAT4	S100A4	head	5	1	0.09595781298265743	0.053483121793113396	2
STAT4	S100A4	head	6	0	0.03132033008252063	0.02148373941339473	2
STAT4	S100A4	head	6	1	0.02669785093332156	0.04446525586650325	2
STAT4	S100A4	head	7	0	0.006884073959666389	0.02315313673890906	2
STAT4	S100A4	head	7	1	0.027525263668858393	0.02685077380570249	2
STAT4	S100A4	head	8	0	0.011627906976744186	0.01644434374852436	2
STAT4	S100A4	head	8	1	0.02669785093332156	0.04446525586650325	2
STAT4	S100A4	head	9	0	0.01292970301398879	0.0018410176113148706	2
STAT4	S100A4	head	9	1	0.004269449715370019	0.006037913691346232	2
STAT4	S100A4	head	10	0	0.006166982922201139	0.008721430887500112	2
STAT4	S100A4	head	10	1	0.016846123295529765	0.00906467145910119	2
STAT4	S100A4	head	11	0	0.0	0.0	2
STAT4	S100A4	head	11	1	0.0	0.0	2
