tissue	granularity	pair	components	mean_abs_restoration	max_abs_restoration
kidney	heads	KLF2->CXCR4	24	0.7164468070212403	6.132063755118637
kidney	heads	STAT4->S100A4	24	0.009181514654177513	0.0561656041405813
kidney	mlp	KLF2->CXCR4	12	4.569439852874053	18.42294996692215
kidney	mlp	STAT4->S100A4	12	0.05177474690502121	0.3125182241189723
lung	heads	STAT4->S100A4	24	0.05782419869673295	0.2891421384757954
lung	heads	KLF2->CXCR4	24	0.04194785872628101	0.1502480961806085
lung	mlp	KLF2->CXCR4	12	0.2580486618056995	0.8597683250163157
lung	mlp	STAT4->S100A4	12	0.21058665401644527	0.7886677551740877
immune	heads	KLF2->CXCR4	24	0.020927221948238036	0.0979170833770225
immune	heads	STAT4->S100A4	24	0.009390903787779693	0.0385110911347359
immune	mlp	STAT4->S100A4	12	0.07924218316453181	0.4288604440217584
immune	mlp	KLF2->CXCR4	12	0.1162214894082685	0.408143872760507
